config,grid,seed,hidden_size,learning_rate,gamma,timesteps,updates,episodes,final_avg_50,success_rate,avg_eval_reward,avg_eval_steps,checkpoint
lr_1e4,restaurant_delivery_grid,0,128,0.0001,0.99,100000,99001,308,-4.873599999999922,0.0,-10.568399999999874,500.0,out\dqn_experiments\dqn_lr_1e4_restaurant_delivery_grid_seed0.pt
lr_1e4,restaurant_delivery_grid,1,128,0.0001,0.99,100000,99001,462,20.128599999999995,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_1e4_restaurant_delivery_grid_seed1.pt
lr_1e4,restaurant_delivery_grid,2,128,0.0001,0.99,100000,99001,6550,20.175599999999996,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_1e4_restaurant_delivery_grid_seed2.pt
lr_3e4,restaurant_delivery_grid,0,128,0.0003,0.99,100000,99001,308,-4.873599999999922,0.0,-10.568399999999874,500.0,out\dqn_experiments\dqn_lr_3e4_restaurant_delivery_grid_seed0.pt
lr_3e4,restaurant_delivery_grid,1,128,0.0003,0.99,100000,99001,462,20.128599999999995,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_3e4_restaurant_delivery_grid_seed1.pt
lr_3e4,restaurant_delivery_grid,2,128,0.0003,0.99,100000,99001,6550,20.175599999999996,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_3e4_restaurant_delivery_grid_seed2.pt
lr_1e3,restaurant_delivery_grid,0,128,0.001,0.99,100000,99001,308,-4.873599999999922,0.0,-10.568399999999874,500.0,out\dqn_experiments\dqn_lr_1e3_restaurant_delivery_grid_seed0.pt
lr_1e3,restaurant_delivery_grid,1,128,0.001,0.99,100000,99001,462,20.128599999999995,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_1e3_restaurant_delivery_grid_seed1.pt
lr_1e3,restaurant_delivery_grid,2,128,0.001,0.99,100000,99001,6550,20.175599999999996,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_lr_1e3_restaurant_delivery_grid_seed2.pt
lr_1e4,A1_grid,0,128,0.0001,0.99,500000,499001,12699,20.191000000000003,1.0,19.352000000000004,28.5,out\dqn_experiments\dqn_lr_1e4_A1_grid_seed0.pt
lr_1e4,A1_grid,1,128,0.0001,0.99,500000,499001,13010,20.1348,1.0,19.3896,28.58,out\dqn_experiments\dqn_lr_1e4_A1_grid_seed1.pt
lr_1e4,A1_grid,2,128,0.0001,0.99,500000,499001,9220,20.2874,1.0,19.3712,28.52,out\dqn_experiments\dqn_lr_1e4_A1_grid_seed2.pt
lr_3e4,A1_grid,0,128,0.0003,0.99,500000,499001,12699,20.191000000000003,1.0,19.352000000000004,28.5,out\dqn_experiments\dqn_lr_3e4_A1_grid_seed0.pt
lr_3e4,A1_grid,1,128,0.0003,0.99,500000,499001,13010,20.1348,1.0,19.3896,28.58,out\dqn_experiments\dqn_lr_3e4_A1_grid_seed1.pt
lr_3e4,A1_grid,2,128,0.0003,0.99,500000,499001,9220,20.2874,1.0,19.3712,28.52,out\dqn_experiments\dqn_lr_3e4_A1_grid_seed2.pt
lr_1e3,A1_grid,0,128,0.001,0.99,500000,499001,12699,20.191000000000003,1.0,19.352000000000004,28.5,out\dqn_experiments\dqn_lr_1e3_A1_grid_seed0.pt
lr_1e3,A1_grid,1,128,0.001,0.99,500000,499001,13010,20.1348,1.0,19.3896,28.58,out\dqn_experiments\dqn_lr_1e3_A1_grid_seed1.pt
lr_1e3,A1_grid,2,128,0.001,0.99,500000,499001,9220,20.2874,1.0,19.3712,28.52,out\dqn_experiments\dqn_lr_1e3_A1_grid_seed2.pt
