variant,grid,seed,timesteps,updates,episodes,final_avg_50,success_rate,avg_eval_reward,avg_eval_steps,checkpoint
full,A1_grid,0,200000,196,514,1.5792000000000757,0.35,-6.782999999999876,393.05,out\ppo_experiments\ppo_full_A1_grid_seed0.pt
full,A1_grid,0,200000,196,514,1.5792000000000757,0.32,-8.393599999999877,414.64,out\ppo_experiments\ppo_full_A1_grid_seed0.pt
full,A1_grid,0,500000,489,1600,9.607200000000036,1.0,18.578400000000002,30.92,out\ppo_experiments\ppo_full_A1_grid_seed0.pt
full,A1_grid,1,500000,489,1613,10.328400000000038,1.0,18.52,30.9,out\ppo_experiments\ppo_full_A1_grid_seed1.pt
full,A1_grid,2,500000,489,1640,7.536400000000036,1.0,18.5784,30.92,out\ppo_experiments\ppo_full_A1_grid_seed2.pt
no_action_mask,A1_grid,0,500000,489,1053,-112.54199999999986,0.0,-16.311199999999843,500.0,out\ppo_experiments\ppo_no_action_mask_A1_grid_seed0.pt
no_action_mask,A1_grid,1,500000,489,1044,-114.63079999999972,0.0,-16.389599999999845,500.0,out\ppo_experiments\ppo_no_action_mask_A1_grid_seed1.pt
no_action_mask,A1_grid,2,500000,489,1035,-122.3379999999998,0.0,-16.448399999999843,500.0,out\ppo_experiments\ppo_no_action_mask_A1_grid_seed2.pt
no_novelty,A1_grid,0,500000,489,1644,9.383200000000045,1.0,18.578400000000002,30.92,out\ppo_experiments\ppo_no_novelty_A1_grid_seed0.pt
no_novelty,A1_grid,1,500000,489,1580,6.360400000000063,1.0,18.2344,34.4,out\ppo_experiments\ppo_no_novelty_A1_grid_seed1.pt
no_novelty,A1_grid,2,500000,489,1638,7.626000000000056,1.0,18.5608,30.82,out\ppo_experiments\ppo_no_novelty_A1_grid_seed2.pt
long_rollout,A1_grid,0,500000,123,1676,9.717200000000041,1.0,18.44,30.98,out\ppo_experiments\ppo_long_rollout_A1_grid_seed0.pt
long_rollout,A1_grid,1,500000,123,1634,9.366400000000041,1.0,18.52,30.9,out\ppo_experiments\ppo_long_rollout_A1_grid_seed1.pt
long_rollout,A1_grid,2,500000,123,1671,9.526400000000038,1.0,18.539199999999997,32.88,out\ppo_experiments\ppo_long_rollout_A1_grid_seed2.pt
full,restaurant_delivery_grid,0,200000,196,2137,17.766,1.0,19.761200000000002,10.0,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed0.pt
full,restaurant_delivery_grid,1,200000,196,2106,17.692800000000005,1.0,19.76,10.06,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed1.pt
full,restaurant_delivery_grid,2,200000,196,2379,18.646400000000003,1.0,19.738400000000002,11.14,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed2.pt
no_action_mask,restaurant_delivery_grid,0,200000,196,1316,-5.5375999999999985,1.0,19.7604,10.04,out\ppo_experiments\ppo_no_action_mask_restaurant_delivery_grid_seed0.pt
no_action_mask,restaurant_delivery_grid,1,200000,196,1238,-9.42560000000003,1.0,19.76,10.06,out\ppo_experiments\ppo_no_action_mask_restaurant_delivery_grid_seed1.pt
no_action_mask,restaurant_delivery_grid,2,200000,196,1275,-5.498800000000024,1.0,19.760000000000005,10.06,out\ppo_experiments\ppo_no_action_mask_restaurant_delivery_grid_seed2.pt
no_novelty,restaurant_delivery_grid,0,200000,196,2381,17.9004,1.0,19.7604,10.04,out\ppo_experiments\ppo_no_novelty_restaurant_delivery_grid_seed0.pt
no_novelty,restaurant_delivery_grid,1,200000,196,1983,17.278400000000005,1.0,19.76,10.06,out\ppo_experiments\ppo_no_novelty_restaurant_delivery_grid_seed1.pt
no_novelty,restaurant_delivery_grid,2,200000,196,2217,17.228400000000004,1.0,19.7376,11.18,out\ppo_experiments\ppo_no_novelty_restaurant_delivery_grid_seed2.pt
long_rollout,restaurant_delivery_grid,0,200000,49,2699,18.277599999999996,1.0,19.736,11.26,out\ppo_experiments\ppo_long_rollout_restaurant_delivery_grid_seed0.pt
long_rollout,restaurant_delivery_grid,1,200000,49,2329,17.842,1.0,19.736800000000002,11.22,out\ppo_experiments\ppo_long_rollout_restaurant_delivery_grid_seed1.pt
long_rollout,restaurant_delivery_grid,2,200000,49,2699,18.369600000000002,1.0,19.760000000000005,10.06,out\ppo_experiments\ppo_long_rollout_restaurant_delivery_grid_seed2.pt
full,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,128,100000,98,805,16.14400000000001,1.0,19.736,11.26,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed0.pt
full,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,128,100000,98,767,16.682800000000007,1.0,19.76,10.06,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed1.pt
full,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,128,100000,98,821,18.1068,1.0,19.760800000000003,10.02,out\ppo_experiments\ppo_full_restaurant_delivery_grid_seed2.pt
entropy_0,restaurant_delivery_grid,0,0.0,0.95,0.2,1024,128,100000,98,774,16.663600000000006,1.0,19.309199999999997,32.6,out\ppo_experiments\ppo_entropy_0_restaurant_delivery_grid_seed0.pt
entropy_0,restaurant_delivery_grid,1,0.0,0.95,0.2,1024,128,100000,98,825,17.161600000000007,1.0,19.74,10.08,out\ppo_experiments\ppo_entropy_0_restaurant_delivery_grid_seed1.pt
entropy_0,restaurant_delivery_grid,2,0.0,0.95,0.2,1024,128,100000,98,824,18.0336,1.0,19.759200000000003,10.1,out\ppo_experiments\ppo_entropy_0_restaurant_delivery_grid_seed2.pt
entropy_001,restaurant_delivery_grid,0,0.01,0.95,0.2,1024,128,100000,98,760,16.82320000000001,1.0,19.7596,10.08,out\ppo_experiments\ppo_entropy_001_restaurant_delivery_grid_seed0.pt
entropy_001,restaurant_delivery_grid,1,0.01,0.95,0.2,1024,128,100000,98,737,17.364400000000003,1.0,19.736800000000002,11.22,out\ppo_experiments\ppo_entropy_001_restaurant_delivery_grid_seed1.pt
entropy_001,restaurant_delivery_grid,2,0.01,0.95,0.2,1024,128,100000,98,788,17.8776,1.0,19.759200000000003,10.1,out\ppo_experiments\ppo_entropy_001_restaurant_delivery_grid_seed2.pt
entropy_005,restaurant_delivery_grid,0,0.05,0.95,0.2,1024,128,100000,98,865,17.0336,1.0,19.761200000000002,10.0,out\ppo_experiments\ppo_entropy_005_restaurant_delivery_grid_seed0.pt
entropy_005,restaurant_delivery_grid,1,0.05,0.95,0.2,1024,128,100000,98,709,17.060800000000008,1.0,19.76,10.06,out\ppo_experiments\ppo_entropy_005_restaurant_delivery_grid_seed1.pt
entropy_005,restaurant_delivery_grid,2,0.05,0.95,0.2,1024,128,100000,98,797,17.629600000000003,1.0,19.738400000000002,11.14,out\ppo_experiments\ppo_entropy_005_restaurant_delivery_grid_seed2.pt
gae_090,restaurant_delivery_grid,0,0.02,0.9,0.2,1024,128,100000,98,1189,18.029600000000002,1.0,19.739600000000003,10.1,out\ppo_experiments\ppo_gae_090_restaurant_delivery_grid_seed0.pt
gae_090,restaurant_delivery_grid,1,0.02,0.9,0.2,1024,128,100000,98,1159,18.4908,1.0,19.736800000000002,11.22,out\ppo_experiments\ppo_gae_090_restaurant_delivery_grid_seed1.pt
gae_090,restaurant_delivery_grid,2,0.02,0.9,0.2,1024,128,100000,98,1204,18.792,1.0,19.760000000000005,10.06,out\ppo_experiments\ppo_gae_090_restaurant_delivery_grid_seed2.pt
gae_095,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,128,100000,98,805,16.14400000000001,1.0,19.736,11.26,out\ppo_experiments\ppo_gae_095_restaurant_delivery_grid_seed0.pt
gae_095,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,128,100000,98,767,16.682800000000007,1.0,19.76,10.06,out\ppo_experiments\ppo_gae_095_restaurant_delivery_grid_seed1.pt
gae_095,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,128,100000,98,821,18.1068,1.0,19.760800000000003,10.02,out\ppo_experiments\ppo_gae_095_restaurant_delivery_grid_seed2.pt
gae_099,restaurant_delivery_grid,0,0.02,0.99,0.2,1024,128,100000,98,584,13.752400000000016,1.0,19.761200000000002,10.0,out\ppo_experiments\ppo_gae_099_restaurant_delivery_grid_seed0.pt
gae_099,restaurant_delivery_grid,1,0.02,0.99,0.2,1024,128,100000,98,537,14.144000000000021,0.96,16.77039999999999,58.74,out\ppo_experiments\ppo_gae_099_restaurant_delivery_grid_seed1.pt
gae_099,restaurant_delivery_grid,2,0.02,0.99,0.2,1024,128,100000,98,541,14.048800000000018,1.0,19.759200000000003,10.1,out\ppo_experiments\ppo_gae_099_restaurant_delivery_grid_seed2.pt
clip_01,restaurant_delivery_grid,0,0.02,0.95,0.1,1024,128,100000,98,628,16.055600000000013,1.0,19.2088,37.62,out\ppo_experiments\ppo_clip_01_restaurant_delivery_grid_seed0.pt
